EDGE_PROB: 0.07	EDGE_DENSITY: 0.1	GRAPH SIZE: 100
STEP 0		5,4	5,6	5	6		5	6	5	5	6	6		0,12	1,57	7,46		0.09858585858585858	40	26	488
STEP 1		6	5,8	5	6		5	6	5	5	6	6		0,01	1,33	4,52		0.10141414141414141	27	34	502
STEP 2		5,4	5,8	5	6		5	6	5	5	6	6		0,01	1,28	4		0.1	26	35	495
STEP 3		5,6	5,2	5	6		5	6	5	5	6	6		0,01	1,39	4,23		0.09818181818181818	37	40	486
STEP 4		5,6	5,6	5	5,8		5	6	5	5	5	6		0,01	1,23	4,14		0.09757575757575758	37	31	483
STEP 5		5,2	5,6	5	5,6		5	6	5	5	5	6		0,01	1,28	3,8		0.09878787878787879	29	31	489
STEP 6		5,2	5,6	5	5,6		5	6	5	5	5	6		0,01	1,34	3,6		0.09838383838383838	34	26	487
STEP 7		5,8	5,6	5	6		5	6	5	5	6	6		0,01	1,35	3,84		0.1	39	31	495
STEP 8		6	5,6	5	6		5	6	5	5	6	6		0	1,46	3,62		0.10161616161616162	29	38	503
STEP 9		5,8	5,4	5	5,4		5	6	5	5	5	6		0,01	1,38	3,36		0.0997979797979798	40	38	494
STEP 10		5,4	5,8	5	6		5	6	5	5	6	6		0,01	1,33	3,36		0.10020202020202021	31	37	496
STEP 11		5,2	5,6	5	5,4		5	6	5	5	5	6		0,01	1,5	3,35		0.09898989898989899	39	37	490
STEP 12		5,8	5,4	5	5,8		5	6	5	5	5	6		0	1,28	3,89		0.0993939393939394	39	34	492
STEP 13		5,2	5,6	5	6		5	6	5	5	6	6		0	1,24	5,32		0.1004040404040404	45	52	497
STEP 14		5,2	5,8	5	5,6		5	6	5	5	5	6		0	1,44	4,14		0.09898989898989899	24	37	490
STEP 15		5,8	5,8	5	5,6		5	6	5	5	5	6		0,01	1,34	3,97		0.09636363636363636	35	36	477
STEP 16		5,8	5	5	5,4		5	5	5	5	5	6		0	1,26	3,42		0.09616161616161616	34	27	476
STEP 17		5,2	5,6	5	5,8		5	6	5	5	5	6		0	1,13	3,4		0.09757575757575758	34	37	483
STEP 18		5,2	5,8	5	5,6		5	6	5	5	5	6		0	1,07	3,69		0.09696969696969697	41	31	480
STEP 19		5,4	5,8	5	5,8		5	6	5	5	5	6		0	1,1	3,67		0.09898989898989899	45	34	490
50	=>	5,77	6,2
100	=>	5,71	6,07
150	=>	5,65	6,02
200	=>	5,57	5,98
250	=>	5,57	5,97
300	=>	5,49	5,96
350	=>	5,47	5,96
400	=>	5,46	5,96
450	=>	5,44	5,96
500	=>	5,4	5,95
550	=>	5,35	5,95
600	=>	5,33	5,94
650	=>	5,33	5,94
700	=>	5,3	5,93
750	=>	5,3	5,93
800	=>	5,29	5,93
850	=>	5,28	5,91
900	=>	5,28	5,88
950	=>	5,25	5,88
1000	=>	5,24	5,88
1050	=>	5,23	5,87
1100	=>	5,23	5,87
1150	=>	5,23	5,87
1200	=>	5,23	5,87
1250	=>	5,23	5,87
1300	=>	5,23	5,87
1350	=>	5,21	5,87
1400	=>	5,2	5,87
1450	=>	5,18	5,86
1500	=>	5,17	5,84
1550	=>	5,15	5,84
1600	=>	5,14	5,83
1650	=>	5,14	5,82
1700	=>	5,13	5,82
1750	=>	5,12	5,82
1800	=>	5,12	5,81
1850	=>	5,12	5,8
1900	=>	5,11	5,79
1950	=>	5,1	5,78
2000	=>	5,1	5,77
2050	=>	5,09	5,77
2100	=>	5,09	5,77
2150	=>	5,09	5,77
2200	=>	5,09	5,76
2250	=>	5,09	5,76
2300	=>	5,08	5,76
2350	=>	5,08	5,76
2400	=>	5,08	5,76
2450	=>	5,07	5,75
2500	=>	5,07	5,75
2550	=>	5,07	5,75
2600	=>	5,07	5,75
2650	=>	5,06	5,75
2700	=>	5,06	5,74
2750	=>	5,06	5,74
2800	=>	5,06	5,74
2850	=>	5,06	5,74
2900	=>	5,05	5,73
2950	=>	5,04	5,73
3000	=>	5,04	5,73
3050	=>	5,03	5,73
3100	=>	5,03	5,72
3150	=>	5,02	5,72
3200	=>	5,01	5,72
3250	=>	5,01	5,72
3300	=>	5,01	5,72
3350	=>	5,01	5,72
3400	=>	5,01	5,72
3450	=>	5,01	5,72
3500	=>	5,01	5,72
3550	=>	5,01	5,72
3600	=>	5,01	5,72
3650	=>	5,01	5,72
3700	=>	5,01	5,71
3750	=>	5,01	5,71
3800	=>	5,01	5,71
3850	=>	5,01	5,71
3900	=>	5,01	5,71
3950	=>	5,01	5,71
4000	=>	5,01	5,71
4050	=>	5,01	5,71
4100	=>	5,01	5,71
4150	=>	5,01	5,71
4200	=>	5,01	5,71
4250	=>	5,01	5,71
4300	=>	5,01	5,71
4350	=>	5,01	5,71
4400	=>	5,01	5,7
4450	=>	5,01	5,7
4500	=>	5,01	5,7
4550	=>	5,01	5,7
4600	=>	5,01	5,7
4650	=>	5,01	5,7
4700	=>	5,01	5,7
4750	=>	5,01	5,7
4800	=>	5,01	5,7
4850	=>	5,01	5,7
4900	=>	5,01	5,7
4950	=>	5	5,7
5000	=>	5	5,7
5050	=>	5	5,7
5100	=>	5	5,7
5150	=>	5	5,7
5200	=>	5	5,7
5250	=>	5	5,7
5300	=>	5	5,7
5350	=>	5	5,7
5400	=>	5	5,7
5450	=>	5	5,7
5500	=>	5	5,7
5550	=>	5	5,7
5600	=>	5	5,7
5650	=>	5	5,7
5700	=>	5	5,7
5750	=>	5	5,69
5800	=>	5	5,69
5850	=>	5	5,68
5900	=>	5	5,67
5950	=>	5	5,67
6000	=>	5	5,67
6050	=>	5	5,67
6100	=>	5	5,67
6150	=>	5	5,67
6200	=>	5	5,67
6250	=>	5	5,67
6300	=>	5	5,67
6350	=>	5	5,67
6400	=>	5	5,67
6450	=>	5	5,67
6500	=>	5	5,67
6550	=>	5	5,67
6600	=>	5	5,67
6650	=>	5	5,67
6700	=>	5	5,66
6750	=>	5	5,66
6800	=>	5	5,65
6850	=>	5	5,65
6900	=>	5	5,65
6950	=>	5	5,65
7000	=>	5	5,65
7050	=>	5	5,64
7100	=>	5	5,64
7150	=>	5	5,64
7200	=>	5	5,64
7250	=>	5	5,64
7300	=>	5	5,64
7350	=>	5	5,64
7400	=>	5	5,64
7450	=>	5	5,64
7500	=>	5	5,64
7550	=>	5	5,64
7600	=>	5	5,64
7650	=>	5	5,64
7700	=>	5	5,64
7750	=>	5	5,64
7800	=>	5	5,64
7850	=>	5	5,64
7900	=>	5	5,64
7950	=>	5	5,64
8000	=>	5	5,63
8050	=>	5	5,63
8100	=>	5	5,63
8150	=>	5	5,63
8200	=>	5	5,63
8250	=>	5	5,63
8300	=>	5	5,63
8350	=>	5	5,63
8400	=>	5	5,63
8450	=>	5	5,63
8500	=>	5	5,63
8550	=>	5	5,63
8600	=>	5	5,63
8650	=>	5	5,63
8700	=>	5	5,63
8750	=>	5	5,63
8800	=>	5	5,63
8850	=>	5	5,63
8900	=>	5	5,63
8950	=>	5	5,63
9000	=>	5	5,63
9050	=>	5	5,63
9100	=>	5	5,61
9150	=>	5	5,61
9200	=>	5	5,61
9250	=>	5	5,61
9300	=>	5	5,61
9350	=>	5	5,61
9400	=>	5	5,61
9450	=>	5	5,61
9500	=>	5	5,61
9550	=>	5	5,61
9600	=>	5	5,61
9650	=>	5	5,61
9700	=>	5	5,61
9750	=>	5	5,61
9800	=>	5	5,61
9850	=>	5	5,6
9900	=>	5	5,6
9950	=>	5	5,6
10000	=>	5	5,6
